Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29819	FINEPAS	Pasvikelva	02.06.2019 11:50																				5.1
29778	STREORK	Orkla	02.06.2019 21:30	58.701	7.37	5.45	0.32	0.62	3.3	1	3	150	<2	250	2.636								
29778	STREORK	Orkla	02.06.2019 21:30																				7.22
29617	?STEGLO	Glomma	03.06.2019 05:20	1506.509	7.05	4	3.1	7.33	3.7	7	14	290	13	450	3.15								
29617	?STEGLO	Glomma	03.06.2019 05:20																				4.79
29820	FINETAN	Tanaelva	03.06.2019 06:00	925.926	7.09	2.78	0.8	2.23	4.2	2	11	6	<2	110	4.521								
29820	FINETAN	Tanaelva	03.06.2019 06:00																				2.55
29779	FINEALT	Altaelva	03.06.2019 07:45	460.12	7.44	10.8	1.9	7.93	4.1	2	8	13	<2	100	4.393								
29779	FINEALT	Altaelva	03.06.2019 07:45																				8.34
29837	ROGEVIK	Vikedalselva	03.06.2019 07:50	11.313	6.69	2.32	0.38	0.77	1.6	2	5	180	4	150	0.778								
29837	ROGEVIK	Vikedalselva	03.06.2019 07:50																				1.09
29782	NOREVEF	Vefsna	03.06.2019 08:00	259.755	7.5	5.31	<0.3	0.65	1.4	1	2	24	<2	69	1.352								
29782	NOREVEF	Vefsna	03.06.2019 08:00																				6.69
29822	MROEDRI	Driva	03.06.2019 09:00	120.669	7.13	3.62	<0.3	0.6	1.2	1	1	110	<2	170	3.129								
29783	ROGEORR	Orreelva	03.06.2019 09:00	1.742	7.81	21.2	8.7	5.14	7.9	9	54	<2	<2	550	0.236								
29613	TELESKI	Skienselva	03.06.2019 09:00	280.155	6.9	2.13	0.47	0.73	2.6	2	4	150	14	240	2.229								
29822	MROEDRI	Driva	03.06.2019 09:00																				4.13
29783	ROGEORR	Orreelva	03.06.2019 09:00																				19.8
29613	TELESKI	Skienselva	03.06.2019 09:00																				1.96
29615	VESENUM	Numedalsl?en	03.06.2019 09:30	105.578	6.83	2.8	1.4	1.92	4.3	3	7	150	20	300	3.064								
29615	VESENUM	Numedalsl?en	03.06.2019 09:30																				2.71
29844	STRENID	Nidelva	03.06.2019 09:40	175.035	7.2	3.23	0.3	0.85	2.5	1	3	87	<2	160	2.01								
29844	STRENID	Nidelva	03.06.2019 09:40																				3.73
